ResponseId,Q6.1,Q6.2,Q6.3,Q6.4,Q6.8,Q6.9,Q6.10,Q6.11,Q6.12,Q6.18,Q6.19,Q6.20,Q6.21,Q6.22,Q6.28,Q6.29,Q6.30,Q6.31,Q6.32,Q6.38,Q6.39,Q6.40
10705,5,6,6,5,6,5,5,6,6,5,4,4,2,4,5,6,6,6,6,6,6,6
10226,6,7,6,5,6,6,5,5,5,6,2,4,3,3,5,5,6,7,5,6,6,6
10914,5,3,5,5,3,5,5,4,5,4,3,5,1,5,3,3,6,6,6,7,5,7
10298,7,7,7,6,7,7,6,5,6,1,1,1,1,1,7,7,7,7,7,6,7,7
10936,7,7,6,6,6,6,6,4,4,3,2,2,2,2,6,6,7,7,6,6,5,7
10340,6,6,6,6,5,3,2,2,5,5,3,3,6,5,6,6,6,5,5,6,5,6
10209,6,6,6,6,6,6,6,4,4,2,2,2,2,2,6,6,6,,6,5,4,6
10973,6,6,5,5,5,5,6,3,5,5,3,3,3,4,5,4,6,6,6,3,5,6
10124,7,7,7,7,7,7,7,7,7,1,1,1,1,1,7,7,7,7,7,5,7,7
10659,7,7,6,7,7,7,7,4,7,1,1,1,1,1,7,7,7,7,7,7,7,7
10518,6,6,6,6,6,4,5,2,3,6,5,5,1,2,4,4,7,7,6,6,4,6
10237,7,7,7,7,7,6,6,6,6,1,1,1,1,3,7,7,7,7,6,5,5,7
10445,6,6,6,6,5,5,7,5,5,4,2,2,2,3,6,7,7,7,6,5,5,6
10134,7,7,7,7,7,6,6,6,6,2,2,2,2,2,7,6,6,6,6,4,6,7
10349,5,6,6,6,5,4,5,3,3,2,2,3,1,2,7,6,7,7,7,5,4,5
10101,6,6,6,6,6,6,6,5,6,2,2,2,2,2,6,6,6,6,6,6,6,6
10022,7,7,7,7,6,6,6,2,5,2,1,2,1,1,7,6,7,7,7,7,6,7
10031,7,5,6,5,5,3,3,1,3,1,2,1,3,3,3,3,5,5,5,5,2,5
10478,3,6,6,6,2,2,2,2,2,7,7,7,2,2,2,6,6,6,2,2,2,5
10066,6,7,7,7,6,6,6,3,5,3,2,2,3,1,6,6,7,6,6,5,5,6
10776,4,6,4,6,1,1,1,1,6,6,7,7,2,6,1,1,6,5,4,5,1,1
10236,6,6,7,7,6,6,6,4,6,2,2,2,2,2,7,6,7,7,6,6,6,6
10204,6,7,6,6,6,5,6,3,5,1,1,1,1,1,6,6,7,7,6,4,5,6
10402,1,5,5,3,1,2,1,1,1,5,3,5,7,7,1,2,6,3,1,1,1,6
10876,6,6,6,6,6,7,6,6,5,2,1,2,2,1,6,6,7,6,7,6,7,7
10356,6,6,7,7,5,3,4,1,1,2,1,1,1,1,6,6,7,6,5,5,4,6
10007,3,6,,5,3,1,2,1,1,4,4,4,5,6,2,1,4,4,4,5,1,4
10069,5,6,6,6,6,6,6,4,3,4,3,3,3,2,6,5,6,6,6,5,4,6
10129,3,6,5,5,5,3,5,3,4,3,4,4,3,2,3,4,4,4,3,3,3,5
10851,5,6,6,6,5,3,4,2,3,2,2,2,2,2,6,6,6,5,6,5,5,6
10527,7,7,7,7,7,7,7,5,5,1,1,1,1,1,6,6,7,7,7,6,5,7
10199,7,7,6,7,5,2,4,1,3,1,1,1,1,1,7,6,7,6,6,5,5,6
10863,7,7,6,6,6,6,7,3,6,6,5,3,6,5,7,6,7,7,7,7,7,7
10440,5,7,6,6,6,6,7,6,6,3,1,1,3,2,4,4,6,6,6,5,5,6
10301,4,6,5,6,2,4,3,1,4,6,6,7,6,5,4,2,6,7,6,3,6,6
10438,5,6,6,6,5,3,3,3,2,4,3,3,4,3,5,6,6,7,6,3,3,6
10782,7,7,7,7,7,7,7,1,7,7,1,5,1,5,7,1,7,7,7,7,7,7
10718,6,7,6,6,6,5,5,2,6,3,2,2,1,2,3,2,6,6,6,6,5,7
10954,6,6,6,6,6,6,6,4,6,2,2,2,1,1,6,6,7,6,6,4,4,7
10861,6,7,7,7,5,3,5,2,5,1,1,1,1,2,5,5,6,7,5,6,6,7
10084,4,6,5,5,6,6,5,3,5,3,2,2,4,3,5,5,6,6,7,4,5,5
10200,6,5,6,6,1,5,6,4,4,2,1,1,1,2,6,6,7,7,7,5,5,7
10157,1,6,5,7,3,1,6,4,2,4,7,7,6,4,5,2,4,7,6,6,7,3
10874,7,7,7,7,7,7,7,5,7,1,1,1,1,1,7,7,7,7,7,7,7,7
10281,6,7,7,7,6,7,7,5,5,5,5,5,5,3,7,5,7,7,7,6,6,7
10840,6,7,6,6,6,6,6,4,4,4,2,3,2,2,5,5,6,6,5,7,5,6
10721,6,7,6,6,6,6,7,4,4,1,1,1,1,1,5,4,6,6,7,4,7,6
10708,7,7,7,7,7,7,7,4,5,1,1,1,1,1,7,7,7,7,7,7,7,7
10979,5,6,6,5,6,5,6,3,6,3,2,3,3,5,5,5,5,6,6,3,6,6
10607,5,5,5,5,5,5,3,2,4,3,5,3,5,6,2,5,6,6,5,6,5,6
10070,5,6,6,7,3,5,3,2,3,6,5,5,3,3,6,6,6,7,6,2,4,6
10700,5,6,5,5,5,6,5,4,4,3,3,2,2,2,7,7,6,7,6,6,4,5
10148,6,7,6,6,6,4,4,3,3,3,2,2,2,3,3,7,6,6,4,4,4,6
10696,5,7,6,6,6,3,5,2,5,2,2,2,2,2,6,6,7,7,6,7,5,6
10780,7,7,7,7,6,6,7,4,4,1,1,1,1,1,7,6,6,7,7,7,7,7
10630,3,5,5,5,2,4,2,5,5,5,2,4,2,2,2,2,2,4,5,7,6,6
10720,7,6,7,7,5,4,5,4,5,5,3,4,3,1,6,4,7,7,7,6,5,7
10936,6,7,6,6,7,7,6,5,,2,1,2,2,1,5,2,6,7,6,5,4,6
10717,6,6,6,6,6,6,6,4,4,2,2,2,2,2,5,5,5,5,5,6,5,6
10933,6,7,5,5,7,7,6,6,7,5,3,3,5,5,5,5,7,6,6,6,5,6
10622,7,6,5,6,4,4,4,1,2,7,7,6,1,2,2,6,7,7,6,6,6,6
10457,6,7,5,3,2,6,5,2,5,5,5,5,2,2,6,4,7,6,6,7,5,7
10702,4,6,6,5,7,5,6,4,5,1,1,1,1,1,4,3,6,6,4,5,4,6
10149,5,6,6,6,6,5,5,3,5,6,3,5,3,2,5,6,6,7,6,6,6,7
10335,2,1,1,5,2,2,2,1,1,7,7,7,6,7,2,3,4,4,3,6,2,4
10246,6,7,5,5,2,6,3,1,3,2,2,2,6,3,3,2,7,5,7,7,5,6
10270,6,7,5,5,7,7,7,3,3,1,2,1,1,1,5,4,7,6,7,5,7,7
10819,5,6,5,5,5,4,5,4,5,3,4,3,3,3,5,5,5,5,4,6,5,6
10133,5,6,6,5,6,6,6,3,5,5,2,4,5,3,6,5,6,6,7,7,5,6
10382,5,7,5,5,5,5,6,4,4,2,2,2,3,2,7,6,7,7,6,4,5,6
10789,7,7,7,6,7,7,7,7,6,1,1,1,1,1,7,6,7,6,7,7,7,7
10907,6,6,6,6,6,6,6,5,5,2,2,2,2,2,6,6,6,6,6,6,6,6
10560,7,7,7,7,7,5,5,4,4,1,1,1,1,1,7,7,7,7,7,7,7,7
10559,6,7,6,5,7,5,6,4,6,2,3,2,4,4,4,4,7,7,6,7,4,7
10098,7,7,7,5,7,7,7,5,7,1,1,1,1,1,6,6,7,6,7,7,6,7
10066,6,7,6,6,6,5,5,4,5,5,4,5,5,6,7,6,7,7,6,5,4,6
10572,6,6,6,6,6,6,6,4,5,5,3,3,2,2,5,5,6,6,6,6,5,6
10864,7,6,7,7,6,4,6,2,4,2,1,1,3,1,4,6,7,7,7,5,6,7
10294,6,7,6,5,7,6,7,4,5,1,1,1,1,1,7,7,7,7,7,7,7,7
10204,6,7,7,6,7,7,6,5,6,1,1,1,1,1,5,6,6,6,7,7,6,5
10579,6,6,6,4,6,6,6,6,6,5,3,3,3,3,5,5,6,6,6,7,5,5
10748,5,6,5,5,3,4,3,1,2,2,1,2,2,2,4,6,6,6,6,6,2,7
10015,6,6,6,6,4,5,4,2,4,3,2,2,2,2,5,5,5,6,6,7,4,5
10054,7,7,6,6,7,7,7,6,7,3,1,2,3,1,7,6,7,7,7,6,7,7
10555,5,7,3,3,1,1,1,1,3,7,6,7,3,5,4,3,6,7,4,7,4,7
10812,6,5,6,6,6,5,6,4,4,2,2,2,2,2,6,5,6,5,5,4,4,5
10215,6,7,7,7,3,2,1,1,1,7,5,7,2,7,4,1,4,7,4,7,1,7
10004,3,5,5,4,2,3,5,1,1,7,7,7,5,2,4,2,5,6,5,7,1,6
10954,7,7,7,7,6,6,7,4,6,1,1,1,1,1,5,6,7,6,6,5,7,7
10295,4,4,4,3,3,2,4,2,2,5,5,5,3,2,5,3,5,5,4,4,3,3
10784,6,7,6,6,7,6,6,4,4,2,1,1,1,1,6,7,7,7,7,4,6,6
10868,7,7,7,6,7,7,7,3,7,2,2,2,1,1,7,7,7,7,7,6,7,7
10705,5,6,6,6,5,5,6,2,2,2,2,2,2,2,5,5,6,6,6,5,5,6
10641,7,6,7,7,6,6,6,4,4,1,1,1,1,1,4,5,6,6,6,5,5,7
